title,company,city,link
Директор по персоналу,ООО Транстрой,Санкт-Петербург,https://hh.ru/vacancy/68812300?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Начальник опытного производства,ООО ПК РОСНА Инжиниринг,Санкт-Петербург,https://hh.ru/vacancy/68870220?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Исполнительный директор (Директор пищевого предприятия),ООО Агроинновация,Курск,https://hh.ru/vacancy/68788103?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор подразделения,ООО ЛК Эволюция,Тольятти,https://hh.ru/vacancy/68873748?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Коммерческий директор,ООО СТП,Нижний Новгород,https://hh.ru/vacancy/68913525?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор производства,Галиев Ирек Римович,Нижнекамск,https://hh.ru/vacancy/68877465?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Исполнительный директор (производство),Империя кадров,Нижний Новгород,https://hh.ru/vacancy/68666368?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Исполнительный директор,Pellet Park,Киров (Кировская область),https://hh.ru/vacancy/68710327?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Управляющий директор предприятия,ООО УК Машинвесткапитал,Кумертау,https://hh.ru/vacancy/68865140?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Руководитель направления розничных продаж,ООО Виерт Трэйд,Москва,https://hh.ru/vacancy/68776262?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор службы заказчика,ООО Строй Бизнес Групп,Санкт-Петербург,https://hh.ru/vacancy/68356251?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Операционный директор - Первый заместитель руководителя ресторанного бизнес-комплекса,Группа Гута,Москва,https://hh.ru/vacancy/67781315?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Операционный директор,ООО Текстильно,Пятигорск,https://hh.ru/vacancy/68506669?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
